0,0
0_INSERT,1
1,2
1_END,3
2,4
2_DOWN,5
3,6
3_PAGE_DOWN,7
4,8
4_LEFT,9
5,10
5_NUM,11
6,12
6_RIGHT,13
7,14
7_HOME,15
8,16
8_UP,17
9,18
9_PAGE_UP,19
ALT,20
ALT_GR,21
APOSTROPHE,22
BACKSLASH,23
BACKSPACE,24
CAPS_LOCK,25
COMMA,26
CTRL,27
CTRL_R,28
DELETE,29
DOWN,30
ENTER,31
ENTER_R,32
ESC,33
F1,34
F10,35
F11,36
F12,37
F2,38
F3,39
F4,40
F5,41
F6,42
F7,43
F8,44
F9,45
FN,46
INSERT,47
LEFT,48
LOWER,49
MINUS,50
MINUS_R,51
NUM_LOCK,52
PAGE_DOWN,53
PAGE_UP,54
PAUSE,55
PLUS,56
PLUS_R,57
POINT,58
POINT_DELETE,59
PRINT_SCREEN,60
RIGHT,61
SCROLL_LOCK,62
SHIFT,63
SHIFT_R,64
SLASH,65
SPACE,66
STAR,67
TAB,68
UP,69
WINDOWS,70
a,71
b,72
c,73
d,74
e,75
f,76
g,77
h,78
i,79
j,80
k,81
l,82
m,83
n,84
o,85
p,86
q,87
r,88
s,89
t,90
u,91
v,92
w,93
x,94
y,95
z,96
à,97
è,98
ì,99
ò,100
ù,101
